AGENCIA,CPF_CNPJ,RELACAO_DECLARADO,OPERACAO,TIPO_CONTA,VLR_ULTIMO_DIA,VLR_TOTAL_DEBITOS,VLR_TOTAL_DEBITOS_MESMA_TITUL,VLR_TOTAL_CREDITOS,VLR_TOTAL_CREDITOS_MESMA_TITUL,VLR_PGTO_ACUMULADOS,ANO_MES_CAIXA
001,12345678901,TITULAR,070,POUPANCA,15250.80,8450.00,1200.00,12300.00,2500.00,345.12,202506
001,98765432100,TITULAR,071,POUPANCA,7890.55,2150.00,0.00,5300.00,450.00,120.40,202506
002,45678912345,TITULAR,070,POUPANCA,23100.15,10500.00,2300.00,15890.00,3450.00,512.85,202506
002,85274196300,TITULAR,070,POUPANCA,4320.90,1890.00,150.00,3600.00,520.00,80.15,202506
004,74185296311,TITULAR,071,POUPANCA,18765.42,9430.00,2120.00,14220.00,3150.00,401.90,202506
004,15935725844,TITULAR,070,POUPANCA,9860.10,4350.00,980.00,8920.00,1450.00,210.32,202506
001,96385274122,TITULAR,070,POUPANCA,30410.50,15200.00,3500.00,20800.00,4200.00,650.75,202506
001,35795145688,TITULAR,071,POUPANCA,12540.00,5890.00,1100.00,9750.00,2000.00,298.45,202506
001,65498732177,TITULAR,070,POUPANCA,6980.30,2780.00,350.00,4920.00,780.00,145.20,202506
004,25874136955,TITULAR,070,POUPANCA,27890.65,12300.00,2950.00,18450.00,3980.00,590.10,202506
